url,date,time,author_name,author_link,quoted_user,posting,posting_wo_quote
/t3279775,2020-11-08,10:10,FetFulElak,/u71703,NA,Citat Ursprungligen postat av Runkar din hundSr 91 spionplan kanske Project Aurora I så fall vet vi ju vad som inspirerade namnet Motorn är helt anorlunda så det borde förklara vad du såg Kände inte till Aurora men det låter möjligt Man kopplade in den nya motorn himlen lyser upp som av norrsken och man drar iväg som in i helvete q,Kände inte till Aurora men det låter möjligt Man kopplade in den nya motorn himlen lyser upp som av norrsken och man drar iväg som in i helvete q
/t3279775,2020-11-08,11:00,Megaforce,/u58122,NA,Citat Ursprungligen postat av FetFulElakKände inte till Aurora men det låter möjligt Man kopplade in den nya motorn himlen lyser upp som av norrsken och man drar iväg som in i helvete qProject Aurora var bara ett test av höghastighetsdesign och man tillverkade ett flygande testskrov helt utan annan utrustning och som mest liknade ett Saab koncept från 1941 https www google com url sa i url AAAAAdAAAAABADProjektet avslutades sen och gick över i utvecklingen av SR 72 som är ett betydligt större plan,Project Aurora var bara ett test av höghastighetsdesign och man tillverkade ett flygande testskrov helt utan annan utrustning och som mest liknade ett Saab koncept från 1941 https www google com url sa i url AAAAAdAAAAABADProjektet avslutades sen och gick över i utvecklingen av SR 72 som är ett betydligt större plan
/t3279775,2020-11-08,11:43,skoljmedel,/u1383462,NA,Citat Ursprungligen postat av IsterbandsdoktornHar förekommit i alla tider bara anmälningsbenägenheten som ökat Tack för ett gott skratt Blev en bra start på söndagen,Tack för ett gott skratt Blev en bra start på söndagen
/t3279775,2020-11-08,12:21,R.Bloodworth,/u665583,NA,Såg det också igår trodde att jag drömde först när det gick från kolsvart till helt dagsljus Ballt var det,Såg det också igår trodde att jag drömde först när det gick från kolsvart till helt dagsljus Ballt var det
/t3279775,2020-11-08,13:08,hahahohoyrsovane,/u1266905,NA,Citat Ursprungligen postat av PornKingDessa är bolider dvs meteoriter som är mer täta objekt och i lite större storlek så att det klarat sig ned i de tjockare atmosfärslagren Det som händer är att eftersom meteoriten faller i så pass hög hastighet ofta tiotusentals kilometer per timme så sker en kompression inne i stenen då främre delen pressas samman mer än bakre delen detta får till följd att främre delen brukar knäckas till följd av intern sprickbildning detta brukar generera ett ljussken som varar i ett par sekunder när denna främre del fallit av så bildas ett temporärt vakuum som gör att luften mycket snabbt stöter till boliden vilket då fungerar som ett extremt kraftfullt hammarslag och får resten av boliden att explodera till små sandkorn och mindre bitar som oftast inte blir mer än golfbollstora dock oftast centimeterstora Detta ger det andra ljusskenet som varar oftast kring 2 5 sekunder och är ännu starkare än det första dessutom blir det en extrem åskknall muller som får fönster nedanför att skaka precis som om åskan slagit ned på tomten De små bitarna sprids sedan över enorma arealer likt sand från Sahara större hagelbitar faller rakt ned med en hastighet kring 300 Km h det var en sådan som den Norska fallskärmshopparen råkade ut för Dessa är inte så ovanliga som man kan tro om man sätter upp en kamera varsomhelst på jorden och riktar mot himlen kommer man fånga en sådan här händelse i genomsnitt vart 3 e år Senaste i Stockholm var 2017 Tack Konspirationsnötterna kommer inte acceptera din realistiska väl underbyggda och logiska förklaring utan en källa,Tack Konspirationsnötterna kommer inte acceptera din realistiska väl underbyggda och logiska förklaring utan en källa
/t3279775,2020-11-08,13:29,LuluBrooksie,/u489292,NA,Citat Ursprungligen postat av Old CrowFler filmer från diverse kameror https www aftonbladet se nyheter a n over sverigeNu vet jag att det var en bolid typ meteor Men om jag inte hade vetat det så hade jag nog trott att nu har någon sprängt en atombomb över typ BeNeLuxDk området,Nu vet jag att det var en bolid typ meteor Men om jag inte hade vetat det så hade jag nog trott att nu har någon sprängt en atombomb över typ BeNeLuxDk området
/t3279775,2020-11-08,13:50,Yottameter,/u1391434,NA,Citat Ursprungligen postat av UndeadNinjaHar man dessutom sett Armageddon och då även inser att Bruce Willis numera är rätt gammal och inte skulle palla med att åka upp för att spränga kometen och rädda oss så blir det hela ännu mer skrämmande Hahaha det är ju inte annat än att man blir lite bekymrad,Hahaha det är ju inte annat än att man blir lite bekymrad
/t3279775,2020-11-08,14:08,flodafloda,/u1386814,NA,Missade självklart detta Men vaknade ca 4 30 när son med vänner kom hem Satte mig på balkongen och rökte en cigg Tittar som vanligt på himlen Då åker en stjärna över himlen och försvann sen plötsligt Den syntes genom molnen Det var ju flera timmar senare men har för mig att dom brukar komma i flock,Missade självklart detta Men vaknade ca 4 30 när son med vänner kom hem Satte mig på balkongen och rökte en cigg Tittar som vanligt på himlen Då åker en stjärna över himlen och försvann sen plötsligt Den syntes genom molnen Det var ju flera timmar senare men har för mig att dom brukar komma i flock
/t3279775,2020-11-08,17:52,davve321,/u352812,NA,Det handlar troligen om en mindre meteor som brann upp i atmosfären Om tre dagar nov 11 passerar jorden centrum av the torid meteor stream vilket den gör två gånger varje år Den har bla även givit upphov till meteoren som man fick se bilder på från ryssland för ett par år sedan tunguska eventet mf Håll ett öga på himlen för de torde kunna ses en del stjärnskott de närmsta dagarna,Det handlar troligen om en mindre meteor som brann upp i atmosfären Om tre dagar nov 11 passerar jorden centrum av the torid meteor stream vilket den gör två gånger varje år Den har bla även givit upphov till meteoren som man fick se bilder på från ryssland för ett par år sedan tunguska eventet mf Håll ett öga på himlen för de torde kunna ses en del stjärnskott de närmsta dagarna
/t3279775,2020-11-08,20:51,baron-brazil,/u384283,NA,Citat Ursprungligen postat av SouthHahaha dog Kan vi bara sluta hålla på med detta varenda gång en bolid lyser lite Alltid hundratals som ska ringa AB å sen rubriker med Mystiskt ljusfenomen och kattfan trodde det var ett ufo Enig Fan slappna av beställ en pizza dra en runk ångra inte sakerna du aldrig borde gjort och inse att allt bara är som det är Oavsett om det borde eller inte,Enig Fan slappna av beställ en pizza dra en runk ångra inte sakerna du aldrig borde gjort och inse att allt bara är som det är Oavsett om det borde eller inte
/t3279775,2020-11-08,22:28,South,/u359945,davve321,Citat Ursprungligen postat av davve321Håll ett öga på himlen för de torde kunna ses en del stjärnskott de närmsta dagarna Stjärnskott Wtf Stjärnfall säger vi på svenska,Stjärnskott Wtf Stjärnfall säger vi på svenska
/t3279775,2020-11-08,22:47,studenten777,/u1087748,NA,https youtu be dIhWQRjlgsI,https youtu be dIhWQRjlgsI
/t3279775,2020-11-09,00:48,mumsmums,/u92061,studenten777,Citat Ursprungligen postat av studenten777https youtu be dIhWQRjlgsIÄr det där verkligen riktigt Ser ju ut att komma sjukt nära marken,Är det där verkligen riktigt Ser ju ut att komma sjukt nära marken
/t3279775,2020-11-09,02:12,460430-0014,/u327965,NA,TV4 har en fin filmhttps www tv4play se program nyheterna 13302018,TV4 har en fin filmhttps www tv4play se program nyheterna 13302018
/t3279775,2020-11-09,05:20,UndeadNinja,/u877633,NA,Citat Ursprungligen postat av DenTunnaVitaLinjenNågon har lyssnat lite väl mycket på JRE ser jag JRE Joe Rogan Ja jag har Lyssnat en del på honom men inte så mycket inom detta ämnet Det som Graham Hancock har varit med i Joe Rogan är bara en otroligt liten del av allt det här,JRE Joe Rogan Ja jag har Lyssnat en del på honom men inte så mycket inom detta ämnet Det som Graham Hancock har varit med i Joe Rogan är bara en otroligt liten del av allt det här
/t3279775,2020-11-09,19:29,KungAllan,/u162652,NA,Låg och kollade på tv när det såg ut som nånting exploderade Vi har ett stort jäkla vardagsrums fönster jag var faktiskt tillräckligt alert att jag vände bort ansiktet från detta fönster har ju explosionen i Ryssland i färskt minne Better safe than sorry så att säga,Låg och kollade på tv när det såg ut som nånting exploderade Vi har ett stort jäkla vardagsrums fönster jag var faktiskt tillräckligt alert att jag vände bort ansiktet från detta fönster har ju explosionen i Ryssland i färskt minne Better safe than sorry så att säga
